City (User location),Leads,Purhchases,Qualified Lead_All conv.,Unqualified Lead_All conv.,Cost,Purchase Value,CPL,CPA,leads 2 purchase,
Bidar,5,0,0,2,503.63,0,100.726,,0.00%,
Bihar Sharif,3,0,1,1,1078.58,0,359.526666666667,,0.00%,
Bilimora,1,0,0,0,109.02,0,109.02,,0.00%,
Bokaro Steel City,5,0,1,0,1008.7,0,201.74,,0.00%,
Bongaigaon,1,0,1,0,337.34,0,337.34,,0.00%,
Bori,1,0,0,0,190.94,0,190.94,,0.00%,
Brahmapur,2,0,1,0,755.11,0,377.555,,0.00%,
Bulandshahr,2,0,0,0,591.92,0,295.96,,0.00%,
Burdwan,1,0,0,0,738.59,0,738.59,,0.00%,
Burhanpur,1,0,0,0,145.97,0,145.97,,0.00%,
Buxar,2,0,1,0,577.88,0,288.94,,0.00%,
Byasanagar,2,0,0,0,66.55,0,33.275,,0.00%,
Chakdaha,1,0,0,0,210.32,0,210.32,,0.00%,
Chalisgaon,2,0,0,0,122.26,0,61.13,,0.00%,
Chapra,1,0,0,0,289.36,0,289.36,,0.00%,
Chengalpattu,1,0,0,0,192.66,0,192.66,,0.00%,
Chhatarpur,2,0,0,0,208.11,0,104.055,,0.00%,
Chikmagalur,2,0,0,0,367.84,0,183.92,,0.00%,
Chinsurah,2,0,0,1,572.92,0,286.46,,0.00%,
Chittorgarh,5,0,0,0,522.76,0,104.552,,0.00%,
Churu,4,0,1,2,658.66,0,164.665,,0.00%,
Contai,1,0,0,0,355.83,0,355.83,,0.00%,
Cooch Behar,3,0,1,1,625.39,0,208.463333333333,,0.00%,
Cuddalore,1,0,1,0,1110.85,0,1110.85,,0.00%,
Cuttack,4,0,1,3,1713.06,0,428.265,,0.00%,
Cuyahoga Falls,1,0,0,0,787.69,0,787.69,,0.00%,
Dadri,4,0,1,0,1844.69,0,461.1725,,0.00%,
Dahod,1,0,0,1,107.27,0,107.27,,0.00%,
Darjeeling,1,0,0,0,406.38,0,406.38,,0.00%,
Davanagere,2,0,0,1,1240.5,0,620.25,,0.00%,
Deesa,1,0,1,0,367.48,0,367.48,,0.00%,
Dehradun,12,0,1,1,6020.54,0,501.711666666667,,0.00%,
Deoghar,3,0,1,1,407.08,0,135.693333333333,,0.00%,
Deoria,1,0,0,0,1158.41,0,1158.41,,0.00%,
Dewas,5,0,2,1,910.99,0,182.198,,0.00%,
Dhampur,1,0,0,0,148.4,0,148.4,,0.00%,
Dhanbad,5,0,1,1,2424.89,0,484.978,,0.00%,
Dharamshala,2,0,0,0,297.01,0,148.505,,0.00%,
Dharmapuri,1,0,0,0,68.52,0,68.52,,0.00%,
Dharwad,1,0,1,0,274.96,0,274.96,,0.00%,
Dhule,1,0,1,0,470.47,0,470.47,,0.00%,
Dibrugarh,3,0,0,1,501.99,0,167.33,,0.00%,
Dimapur,2,0,0,1,469.06,0,234.53,,0.00%,
Doddaballapura,2,0,0,0,89.96,0,44.98,,0.00%,
Dodka,1,0,0,0,110.6,0,110.6,,0.00%,
Dombivli,6,0,0,0,3757.59,0,626.265,,0.00%,
Durg,2,0,1,1,170.05,0,85.025,,0.00%,
Durgapur,5,0,0,3,2628.71,0,525.742,,0.00%,
Eluru,1,0,0,0,211.87,0,211.87,,0.00%,
Ernakulam,2,0,0,0,3510.98,0,1755.49,,0.00%,
Erode,2,0,0,0,1879.29,0,939.645,,0.00%,
Etah,1,0,0,0,288.71,0,288.71,,0.00%,
Faridkot,1,0,0,0,155.71,0,155.71,,0.00%,
Farrukhabad,1,0,1,0,211.9,0,211.9,,0.00%,
Feroke,1,0,0,0,354.52,0,354.52,,0.00%,
Gajraula,2,0,1,1,353.86,0,176.93,,0.00%,
